2972660 getPopulationofCountry Slovakia Zone:2 (turnaround time: 323 ms, execution time: 232 ms, waiting time: 91, processed by server 2)
6275101 getPopulationofCountry Guatemala Zone:4 (turnaround time: 202 ms, execution time: 107 ms, waiting time: 95, processed by server 4)
7515477 getPopulationofCountry Kenya Zone:1 (turnaround time: 262 ms, execution time: 171 ms, waiting time: 91, processed by server 1)
718740 getPopulationofCountry Gambia Zone:1 (turnaround time: 265 ms, execution time: 171 ms, waiting time: 94, processed by server 1)
22244641 getPopulationofCountry Romania Zone:4 (turnaround time: 233 ms, execution time: 141 ms, waiting time: 92, processed by server 4)
2972660 getPopulationofCountry Slovakia Zone:2 (turnaround time: 386 ms, execution time: 296 ms, waiting time: 90, processed by server 2)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 264 ms, execution time: 171 ms, waiting time: 93, processed by server 4)
7515477 getPopulationofCountry Kenya Zone:3 (turnaround time: 109 ms, execution time: 15 ms, waiting time: 94, processed by server 3)
6275101 getPopulationofCountry Guatemala Zone:1 (turnaround time: 139 ms, execution time: 45 ms, waiting time: 94, processed by server 1)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 138 ms, execution time: 46 ms, waiting time: 92, processed by server 3)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 327 ms, execution time: 232 ms, waiting time: 95, processed by server 4)
8480241 getPopulationofCountry Israel Zone:5 (turnaround time: 170 ms, execution time: 77 ms, waiting time: 93, processed by server 5)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 140 ms, execution time: 46 ms, waiting time: 94, processed by server 1)
189578 getPopulationofCountry French Guiana Zone:3 (turnaround time: 202 ms, execution time: 110 ms, waiting time: 92, processed by server 3)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 390 ms, execution time: 296 ms, waiting time: 94, processed by server 4)
3022187 getPopulationofCountry Benin Zone:2 (turnaround time: 137 ms, execution time: 46 ms, waiting time: 91, processed by server 2)
369776 getPopulationofCountry Guyana Zone:3 (turnaround time: 262 ms, execution time: 169 ms, waiting time: 93, processed by server 3)
316458 getPopulationofCountry Suriname Zone:4 (turnaround time: 449 ms, execution time: 355 ms, waiting time: 94, processed by server 4)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 201 ms, execution time: 106 ms, waiting time: 95, processed by server 1)
89944321 getPopulationofCountry Mexico Zone:5 (turnaround time: 107 ms, execution time: 16 ms, waiting time: 91, processed by server 5)
3628180 getPopulationofCountry Uganda Zone:4 (turnaround time: 110 ms, execution time: 16 ms, waiting time: 94, processed by server 4)
5996338 getPopulationofCountry Senegal Zone:1 (turnaround time: 264 ms, execution time: 171 ms, waiting time: 93, processed by server 1)
9269384 getPopulationofCountry Sweden Zone:2 (turnaround time: 141 ms, execution time: 47 ms, waiting time: 94, processed by server 2)
89944321 getPopulationofCountry Mexico Zone:5 (turnaround time: 171 ms, execution time: 79 ms, waiting time: 92, processed by server 5)
183952128 getPopulationofCountry United States Zone:4 (turnaround time: 171 ms, execution time: 77 ms, waiting time: 94, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 231 ms, execution time: 137 ms, waiting time: 94, processed by server 4)
7301292 getPopulationofCountry Switzerland Zone:5 (turnaround time: 169 ms, execution time: 77 ms, waiting time: 92, processed by server 5)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 139 ms, execution time: 47 ms, waiting time: 92, processed by server 2)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 293 ms, execution time: 200 ms, waiting time: 93, processed by server 4)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 200 ms, execution time: 107 ms, waiting time: 93, processed by server 5)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 354 ms, execution time: 261 ms, waiting time: 93, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:4 (turnaround time: 413 ms, execution time: 322 ms, waiting time: 91, processed by server 4)
7287342 getPopulationofCountry Ghana Zone:5 (turnaround time: 260 ms, execution time: 167 ms, waiting time: 93, processed by server 5)
62864801 getPopulationofCountry Turkey Zone:4 (turnaround time: 477 ms, execution time: 385 ms, waiting time: 92, processed by server 4)
184225 getPopulationofCountry Guam Zone:1 (turnaround time: 109 ms, execution time: 16 ms, waiting time: 93, processed by server 1)
3587103 getPopulationofCountry Cambodia Zone:5 (turnaround time: 292 ms, execution time: 201 ms, waiting time: 91, processed by server 5)
1073335 getPopulationofCountry Botswana Zone:2 (turnaround time: 169 ms, execution time: 76 ms, waiting time: 93, processed by server 2)
3587103 getPopulationofCountry Cambodia Zone:5 (turnaround time: 352 ms, execution time: 261 ms, waiting time: 91, processed by server 5)
1698635 getPopulationofCountry Kuwait Zone:4 (turnaround time: 415 ms, execution time: 322 ms, waiting time: 93, processed by server 4)
8249 getPopulationofCountry Tuvalu Zone:4 (turnaround time: 385 ms, execution time: 293 ms, waiting time: 92, processed by server 4)
3587103 getPopulationofCountry Cambodia Zone:5 (turnaround time: 415 ms, execution time: 323 ms, waiting time: 92, processed by server 5)
374575 getPopulationofCountry Guadeloupe Zone:2 (turnaround time: 231 ms, execution time: 138 ms, waiting time: 93, processed by server 2)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 294 ms, execution time: 202 ms, waiting time: 92, processed by server 4)
3628180 getPopulationofCountry Uganda Zone:3 (turnaround time: 109 ms, execution time: 16 ms, waiting time: 93, processed by server 3)
95951597 getPopulationofCountry Japan Zone:5 (turnaround time: 448 ms, execution time: 356 ms, waiting time: 92, processed by server 5)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 172 ms, execution time: 79 ms, waiting time: 93, processed by server 1)
95951597 getPopulationofCountry Japan Zone:5 (turnaround time: 510 ms, execution time: 418 ms, waiting time: 92, processed by server 5)
3939407 getPopulationofCountry Nepal Zone:2 (turnaround time: 109 ms, execution time: 16 ms, waiting time: 93, processed by server 2)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 356 ms, execution time: 265 ms, waiting time: 91, processed by server 4)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 419 ms, execution time: 327 ms, waiting time: 92, processed by server 4)
62864801 getPopulationofCountry Turkey Zone:5 (turnaround time: 327 ms, execution time: 234 ms, waiting time: 93, processed by server 5)
31048782 getPopulationofCountry Canada Zone:5 (turnaround time: 359 ms, execution time: 264 ms, waiting time: 95, processed by server 5)
2579609 getPopulationofCountry Oman Zone:4 (turnaround time: 482 ms, execution time: 389 ms, waiting time: 93, processed by server 4)
15142000 getPopulationofCountry Belgium Zone:2 (turnaround time: 139 ms, execution time: 47 ms, waiting time: 92, processed by server 2)
16250222 getPopulationofCountry Netherlands Zone:4 (turnaround time: 262 ms, execution time: 169 ms, waiting time: 93, processed by server 4)
15142000 getPopulationofCountry Belgium Zone:2 (turnaround time: 199 ms, execution time: 107 ms, waiting time: 92, processed by server 2)
31048782 getPopulationofCountry Canada Zone:5 (turnaround time: 419 ms, execution time: 325 ms, waiting time: 94, processed by server 5)
53386217 getPopulationofCountry Philippines Zone:1 (turnaround time: 138 ms, execution time: 44 ms, waiting time: 94, processed by server 1)
2972660 getPopulationofCountry Slovakia Zone:5 (turnaround time: 448 ms, execution time: 355 ms, waiting time: 93, processed by server 5)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 169 ms, execution time: 78 ms, waiting time: 91, processed by server 4)
7325831 getPopulationofCountry Bolivia Zone:1 (turnaround time: 200 ms, execution time: 108 ms, waiting time: 92, processed by server 1)
2972660 getPopulationofCountry Slovakia Zone:5 (turnaround time: 511 ms, execution time: 416 ms, waiting time: 95, processed by server 5)
67716004 getPopulationofCountry United Kingdom Zone:3 (turnaround time: 108 ms, execution time: 15 ms, waiting time: 93, processed by server 3)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 232 ms, execution time: 140 ms, waiting time: 92, processed by server 4)
2972660 getPopulationofCountry Slovakia Zone:5 (turnaround time: 560 ms, execution time: 465 ms, waiting time: 95, processed by server 5)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 281 ms, execution time: 188 ms, waiting time: 93, processed by server 4)
3939407 getPopulationofCountry Nepal Zone:3 (turnaround time: 157 ms, execution time: 64 ms, waiting time: 93, processed by server 3)
447039 getPopulationofCountry Equatorial Guinea Zone:4 (turnaround time: 341 ms, execution time: 247 ms, waiting time: 94, processed by server 4)
4797337 getPopulationofCountry Serbia Zone:5 (turnaround time: 525 ms, execution time: 431 ms, waiting time: 94, processed by server 5)
3226299 getPopulationofCountry Honduras Zone:3 (turnaround time: 154 ms, execution time: 60 ms, waiting time: 94, processed by server 3)
9269384 getPopulationofCountry Sweden Zone:4 (turnaround time: 403 ms, execution time: 310 ms, waiting time: 93, processed by server 4)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 310 ms, execution time: 214 ms, waiting time: 96, processed by server 5)
7089788 getPopulationofCountry Belarus Zone:4 (turnaround time: 309 ms, execution time: 217 ms, waiting time: 92, processed by server 4)
1565638 getPopulationofCountry Togo Zone:1 (turnaround time: 124 ms, execution time: 31 ms, waiting time: 93, processed by server 1)
447039 getPopulationofCountry Equatorial Guinea Zone:5 (turnaround time: 373 ms, execution time: 293 ms, waiting time: 80, processed by server 5)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 122 ms, execution time: 30 ms, waiting time: 92, processed by server 2)
7089788 getPopulationofCountry Belarus Zone:4 (turnaround time: 368 ms, execution time: 278 ms, waiting time: 90, processed by server 4)
183952128 getPopulationofCountry United States Zone:5 (turnaround time: 308 ms, execution time: 215 ms, waiting time: 93, processed by server 5)
316458 getPopulationofCountry Suriname Zone:5 (turnaround time: 278 ms, execution time: 184 ms, waiting time: 94, processed by server 5)
7089788 getPopulationofCountry Belarus Zone:4 (turnaround time: 431 ms, execution time: 339 ms, waiting time: 92, processed by server 4)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 184 ms, execution time: 93 ms, waiting time: 91, processed by server 2)
2420881 getPopulationofCountry Panama Zone:1 (turnaround time: 154 ms, execution time: 62 ms, waiting time: 92, processed by server 1)
6275101 getPopulationofCountry Guatemala Zone:5 (turnaround time: 339 ms, execution time: 245 ms, waiting time: 94, processed by server 5)
3982679 getPopulationofCountry Paraguay Zone:3 (turnaround time: 123 ms, execution time: 31 ms, waiting time: 92, processed by server 3)
16250222 getPopulationofCountry Netherlands Zone:4 (turnaround time: 463 ms, execution time: 370 ms, waiting time: 93, processed by server 4)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 245 ms, execution time: 154 ms, waiting time: 91, processed by server 2)
16250222 getPopulationofCountry Netherlands Zone:4 (turnaround time: 522 ms, execution time: 430 ms, waiting time: 92, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:1 (turnaround time: 122 ms, execution time: 30 ms, waiting time: 92, processed by server 1)
3156873 getPopulationofCountry Norway Zone:5 (turnaround time: 183 ms, execution time: 91 ms, waiting time: 92, processed by server 5)
130745096 getPopulationofCountry Brazil Zone:2 (turnaround time: 306 ms, execution time: 214 ms, waiting time: 92, processed by server 2)
3156873 getPopulationofCountry Norway Zone:5 (turnaround time: 246 ms, execution time: 154 ms, waiting time: 92, processed by server 5)
57898650 getPopulationofCountry Indonesia Zone:2 (turnaround time: 369 ms, execution time: 276 ms, waiting time: 93, processed by server 2)
184225 getPopulationofCountry Guam Zone:5 (turnaround time: 184 ms, execution time: 91 ms, waiting time: 93, processed by server 5)
3895983 getPopulationofCountry Ireland Zone:3 (turnaround time: 152 ms, execution time: 60 ms, waiting time: 92, processed by server 3)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 275 ms, execution time: 184 ms, waiting time: 91, processed by server 2)
374575 getPopulationofCountry Guadeloupe Zone:4 (turnaround time: 183 ms, execution time: 92 ms, waiting time: 91, processed by server 4)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 337 ms, execution time: 244 ms, waiting time: 93, processed by server 2)
3895983 getPopulationofCountry Ireland Zone:3 (turnaround time: 213 ms, execution time: 122 ms, waiting time: 91, processed by server 3)
1930662 getPopulationofCountry Kyrgyzstan Zone:2 (turnaround time: 400 ms, execution time: 307 ms, waiting time: 93, processed by server 2)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 186 ms, execution time: 94 ms, waiting time: 92, processed by server 5)
276340 getPopulationofCountry Swaziland Zone:4 (turnaround time: 246 ms, execution time: 156 ms, waiting time: 90, processed by server 4)
357957 getPopulationofCountry Bahamas Zone:4 (turnaround time: 123 ms, execution time: 31 ms, waiting time: 92, processed by server 4)
1182883 getPopulationofCountry Slovenia Zone:2 (turnaround time: 308 ms, execution time: 217 ms, waiting time: 91, processed by server 2)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 248 ms, execution time: 155 ms, waiting time: 93, processed by server 5)
361020 getPopulationofCountry Comoros Zone:3 (turnaround time: 183 ms, execution time: 91 ms, waiting time: 92, processed by server 3)
3122947 getPopulationofCountry Croatia Zone:2 (turnaround time: 246 ms, execution time: 152 ms, waiting time: 94, processed by server 2)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 308 ms, execution time: 214 ms, waiting time: 94, processed by server 5)
8249 getPopulationofCountry Tuvalu Zone:5 (turnaround time: 369 ms, execution time: 275 ms, waiting time: 94, processed by server 5)
